source_country,source_location,target_pakistani_location,event_type_mapping,relationship_count,minimum_lag_days,maximum_lag_days,mean_lag_days,median_lag_days,earliest_example,latest_example,caveat
India,in_jaipur,pk_lahore,Wind->Storm,5,2,6,3.6,3.0,wind_055aee74748b,storm_9a2b61473245,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_quetta,Heatwave->Temperature,5,1,8,4.0,4.0,heatwave_9eefb100d333,temperature_4948e613e360,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_peshawar,Heatwave->Temperature,5,3,10,5.2,5.0,heatwave_1e7511b99e01,temperature_a22140948d4c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_sukkur,Wind->Wind,4,1,3,1.5,1.0,wind_2e010e8e6920,wind_51e9fa2acb59,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_multan,Heatwave->Temperature,4,1,3,1.5,1.0,heatwave_25bf41c6bd41,temperature_1dac0c55b320,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_multan,Temperature->Heatwave,4,1,1,1.0,1.0,temperature_08f1c67f088e,heatwave_456bdfcae458,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_islamabad,Temperature->Temperature,4,1,6,2.25,1.0,temperature_0c05261cde56,temperature_d01c16e241fa,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_sukkur,Wind->Wind,4,1,5,2.25,1.5,wind_1112a0f7c7f3,wind_c1e23a7e7e88,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_islamabad,Wind->Wind,4,1,3,1.75,1.5,wind_3830e5416a94,wind_7854670ff969,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_multan,Wind->Wind,4,1,5,2.25,1.5,wind_1620b33f51d0,wind_bf7453bf86b5,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_islamabad,Wind->Wind,4,1,2,1.75,2.0,wind_af0989e5e9c0,wind_1bac5ba5d0d4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_peshawar,Rainfall->Rainfall,4,1,9,3.75,2.5,rainfall_b398b30342f8,rainfall_8c7e2c8aae49,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_islamabad,Rainfall->Flood,4,1,6,3.0,2.5,rainfall_35cf1804d512,flood_76742fec1e2e,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_lahore,Rainfall->Flood,4,1,6,3.0,2.5,rainfall_6bc1346d1b06,flood_b194f43dc137,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_peshawar,Temperature->Heatwave,4,1,5,3.0,3.0,temperature_0efffac6abcf,heatwave_06514c439bc3,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_quetta,Heatwave->Temperature,4,2,6,3.5,3.0,heatwave_6081d2002f43,temperature_2ffc5506ea88,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Heatwave->Temperature,4,3,8,4.75,4.0,heatwave_843e6de90265,temperature_7279d9caa994,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_quetta,Rainfall->Rainfall,4,1,10,5.0,4.5,rainfall_3819767a13d7,rainfall_6eee71c7ae74,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_quetta,Temperature->Heatwave,4,1,6,4.0,4.5,temperature_e5ca19dc4f06,heatwave_7aa842103794,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_quetta,Heatwave->Temperature,4,4,8,5.5,5.0,heatwave_87800acb8d70,temperature_45ee6b67c0bf,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_peshawar,Heatwave->Heatwave,4,4,10,7.25,7.5,heatwave_47ae6e597f37,heatwave_c5b36d275fcf,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_quetta,Flood->Flood,3,1,7,3.0,1.0,flood_0240e7d07c44,flood_7fbc8e489b7c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_sukkur,Temperature->Heatwave,3,1,2,1.333333,1.0,temperature_0efffac6abcf,heatwave_345ac15c73dd,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_islamabad,Rainfall->Rainfall,3,1,1,1.0,1.0,rainfall_0db89d3897a2,rainfall_3bc53963dcf7,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_sukkur,Wind->Wind,3,1,1,1.0,1.0,wind_165cb5bb444d,wind_2292c595b8c4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_islamabad,Rainfall->Storm,3,1,2,1.333333,1.0,rainfall_6a819e676039,storm_b1599e53279a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_islamabad,Wind->Storm,3,1,2,1.333333,1.0,wind_7f5c7d2643fb,storm_12135f7fb82d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_multan,Wind->Wind,3,1,2,1.333333,1.0,wind_69a176fed191,wind_7eba62ff5dda,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_gilgit,Wind->Storm,3,1,10,4.0,1.0,wind_ade2870b2158,storm_18437ee17801,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_multan,Temperature->Heatwave,3,1,2,1.333333,1.0,temperature_06f071e7099e,heatwave_6426429cf820,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_sukkur,Rainfall->Rainfall,3,1,1,1.0,1.0,rainfall_17659ea9fd67,rainfall_0ecb79145152,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_islamabad,Temperature->Heatwave,3,1,1,1.0,1.0,temperature_4112acfbdf2c,heatwave_09c225cf691c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_quetta,Rainfall->Rainfall,3,1,1,1.0,1.0,rainfall_305c53189e12,rainfall_6202b52da1f9,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_quetta,Heatwave->Heatwave,3,1,2,1.666667,2.0,heatwave_3e12e016aab2,heatwave_e046c83cc7fe,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_peshawar,Flood->Flood,3,1,3,2.0,2.0,flood_c93c4152a033,flood_2e2b615826be,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_quetta,Rainfall->Flood,3,1,2,1.666667,2.0,rainfall_8a034f8614f8,flood_6b3dd500acf5,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_islamabad,Wind->Wind,3,2,6,3.333333,2.0,wind_0ac4c7c9c85e,wind_2d82461a8084,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_gilgit,Temperature->Heatwave,3,2,3,2.333333,2.0,temperature_30b061eee12e,heatwave_8251c9c96ef2,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_multan,Wind->Wind,3,2,4,2.666667,2.0,wind_46e11ed90d97,wind_a0e5f0875e19,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_islamabad,Wind->Wind,3,2,5,3.0,2.0,wind_6830f9c21380,wind_2973276827d8,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Rainfall->Flood,3,2,4,2.666667,2.0,rainfall_372c665b7e4f,flood_582ccbc0702a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_sukkur,Rainfall->Rainfall,3,1,5,2.666667,2.0,rainfall_4a7b9535210f,rainfall_76f434eeee40,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_multan,Heatwave->Temperature,3,2,5,3.333333,3.0,heatwave_73579fecea96,temperature_e985b692dc4e,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Wind->Storm,3,1,5,3.333333,4.0,wind_600b40b118dd,storm_cff04b256002,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_quetta,Temperature->Heatwave,3,2,8,5.0,5.0,temperature_6e198ed52160,heatwave_dac12554bd9c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_gilgit,Wind->Storm,3,1,9,5.0,5.0,wind_063a3f3d1449,storm_7c06522f4e19,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_islamabad,Wind->Wind,3,3,9,5.666667,5.0,wind_4f1b233399f8,wind_977b3edd1a7a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_lahore,Heatwave->Temperature,3,4,8,5.666667,5.0,heatwave_9caff459e6f9,temperature_62c290583615,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_multan,Rainfall->Rainfall,3,1,8,5.0,6.0,rainfall_ee11a488c233,rainfall_813148365551,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Rainfall->Storm,3,1,10,6.0,7.0,rainfall_3b7ad45336bf,storm_a23624e76319,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_gilgit,Rainfall->Rainfall,3,1,10,6.333333,8.0,rainfall_411a5fd81f6b,rainfall_b87ae06ddeec,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_islamabad,Heatwave->Temperature,2,1,1,1.0,1.0,heatwave_072147de9eda,temperature_56381a386a2f,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_islamabad,Rainfall->Flood,2,1,1,1.0,1.0,rainfall_00566a400cff,flood_1114e7b99006,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_sukkur,Temperature->Heatwave,2,1,1,1.0,1.0,temperature_07dc094b37da,heatwave_4446b5c9d53a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_multan,Heatwave->Temperature,2,1,1,1.0,1.0,heatwave_1f836350530a,temperature_ca99ac080465,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_sukkur,Heatwave->Temperature,2,1,1,1.0,1.0,heatwave_1f836350530a,temperature_67e38c5d95c1,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_islamabad,Wind->Storm,2,1,1,1.0,1.0,wind_3830e5416a94,storm_dde365149975,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Temperature->Heatwave,2,1,1,1.0,1.0,temperature_70e92179831d,heatwave_b56e395af908,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_islamabad,Wind->Storm,2,1,1,1.0,1.0,wind_055aee74748b,storm_86753f7b89b0,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_multan,Heatwave->Temperature,2,1,1,1.0,1.0,heatwave_0c5e98f83d3f,temperature_57f3c62922a4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_sukkur,Heatwave->Temperature,2,1,1,1.0,1.0,heatwave_4b9fe66fd3f8,temperature_06f34ebd2445,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_islamabad,Temperature->Heatwave,2,1,1,1.0,1.0,temperature_3913af1c203a,heatwave_479ddff7d5cf,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_lahore,Temperature->Heatwave,2,1,1,1.0,1.0,temperature_a05ed3d8187b,heatwave_36cf7a8ae594,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_multan,Temperature->Heatwave,2,1,1,1.0,1.0,temperature_3913af1c203a,heatwave_55a8b4a58a63,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_sukkur,Temperature->Heatwave,2,1,1,1.0,1.0,temperature_15e584a4239c,heatwave_e7d7ad1a51ee,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_multan,Temperature->Heatwave,2,1,1,1.0,1.0,temperature_06ae57398a21,heatwave_5b71277721d3,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_quetta,Temperature->Heatwave,2,1,1,1.0,1.0,temperature_2662f74a16b3,heatwave_f2c0abda8323,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_multan,Temperature->Heatwave,2,1,2,1.5,1.5,temperature_240a144ba9f3,heatwave_fbdafc7b674c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_multan,Wind->Wind,2,1,2,1.5,1.5,wind_ace040cd9bc8,wind_5fb83b3692e1,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_quetta,Heatwave->Temperature,2,1,2,1.5,1.5,heatwave_1eb19dc90bd1,temperature_987eb8ee2238,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_islamabad,Heatwave->Temperature,2,1,2,1.5,1.5,heatwave_b6f8a916465c,temperature_f615c8c251e6,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_sukkur,Rainfall->Flood,2,1,2,1.5,1.5,rainfall_17659ea9fd67,flood_7653d55b9eab,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_lahore,Rainfall->Storm,2,1,2,1.5,1.5,rainfall_c33741dd96ce,storm_2b87e78fb96b,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_sukkur,Temperature->Heatwave,2,1,2,1.5,1.5,temperature_875f63c96959,heatwave_8c2308a91d11,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_islamabad,Heatwave->Temperature,2,1,2,1.5,1.5,heatwave_9f7eca083f63,temperature_7eb77e470947,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_quetta,Heatwave->Temperature,2,1,2,1.5,1.5,heatwave_081b97c9e421,temperature_266575cb6a0e,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_sukkur,Flood->Flood,2,1,2,1.5,1.5,flood_aa2d45e02c2c,flood_fc3c5970a617,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_zahedan,pk_sukkur,Temperature->Heatwave,2,1,2,1.5,1.5,temperature_c0dda8310cf0,heatwave_5b8740235e66,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_islamabad,Temperature->Heatwave,2,2,2,2.0,2.0,temperature_2cc18dce8505,heatwave_349e222206a4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_quetta,Temperature->Heatwave,2,1,3,2.0,2.0,temperature_348b844e250a,heatwave_971f676d1420,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_quetta,Heatwave->Heatwave,2,2,2,2.0,2.0,heatwave_6081d2002f43,heatwave_db408d11917d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_gilgit,Temperature->Heatwave,2,1,3,2.0,2.0,temperature_e06e283bd766,heatwave_095f044a1c1a,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_sukkur,Temperature->Heatwave,2,1,3,2.0,2.0,temperature_9d3090927750,heatwave_a42a39ef2ddc,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Flood->Flood,2,1,3,2.0,2.0,flood_faffd43a23a0,flood_7a87495099ce,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_islamabad,Heatwave->Temperature,2,1,4,2.5,2.5,heatwave_889d6b1043a9,temperature_917b4aef40c6,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_kashgar,pk_islamabad,Rainfall->Rainfall,2,1,4,2.5,2.5,rainfall_829a8a22497f,rainfall_a1814044bdc8,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_islamabad,Heatwave->Temperature,2,1,4,2.5,2.5,heatwave_5851cb798dd0,temperature_4fde0c0a178c,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_lahore,Rainfall->Flood,2,2,3,2.5,2.5,rainfall_a0af3cb67db7,flood_be7ddbe14b1d,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_sukkur,Rainfall->Rainfall,2,1,4,2.5,2.5,rainfall_ee11a488c233,rainfall_30fa9e9f3e89,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_sukkur,Rainfall->Rainfall,2,2,3,2.5,2.5,rainfall_204ddca78282,rainfall_53d74f32bf3e,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_multan,Rainfall->Flood,2,2,3,2.5,2.5,rainfall_8b787d05d30a,flood_06cb669373b4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_multan,Flood->Flood,2,1,5,3.0,3.0,flood_0240e7d07c44,flood_9636b0675a61,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_islamabad,Temperature->Heatwave,2,2,4,3.0,3.0,temperature_ceeb99b84779,heatwave_ec483156b469,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_amritsar,pk_sukkur,Rainfall->Flood,2,2,4,3.0,3.0,rainfall_81af3d12336d,flood_289c1ca0ac9e,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_islamabad,Rainfall->Storm,2,1,5,3.0,3.0,rainfall_83d24c9ad6c2,storm_fe6c8bd8fa19,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_kerman,pk_islamabad,Heatwave->Temperature,2,3,3,3.0,3.0,heatwave_65e8def0ffd1,temperature_b47c80ac9d69,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Iran,ir_mashhad,pk_quetta,Drought->Drought,2,2,4,3.0,3.0,drought_71f23b1a6858,drought_bea15b6d4c08,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kandahar,pk_quetta,Wind->Storm,2,2,5,3.5,3.5,wind_2292f912394c,storm_f5795fee8423,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_urumqi,pk_gilgit,Heatwave->Temperature,2,2,5,3.5,3.5,heatwave_46d32b6f50a7,temperature_b724c9e49fd7,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_lahore,Rainfall->Storm,2,1,6,3.5,3.5,rainfall_a83e61264d65,storm_d689d206aa61,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Wind->Storm,2,1,6,3.5,3.5,wind_621352d1d788,storm_28195f32a6ea,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_lahore,Rainfall->Storm,2,4,4,4.0,4.0,rainfall_1047a21e819a,storm_767e5ee8b1d6,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_peshawar,Wind->Storm,2,2,7,4.5,4.5,wind_1d3177034c98,storm_f2c0c85d4664,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_lahore,Heatwave->Heatwave,2,3,7,5.0,5.0,heatwave_dd9c22590173,heatwave_0473c7f66c5f,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_gilgit,Flood->Flood,2,1,10,5.5,5.5,flood_b023f5f90b63,flood_118f4197e1f2,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_islamabad,Heatwave->Temperature,2,3,8,5.5,5.5,heatwave_e890b80e25e3,temperature_4e8df4ff50bd,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_peshawar,Drought->Drought,2,4,8,6.0,6.0,drought_7241f4e69459,drought_2365204c9a70,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
China,cn_hotan,pk_gilgit,Temperature->Heatwave,2,5,7,6.0,6.0,temperature_76767c36bcd7,heatwave_1c7e903d9a54,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_lahore,Heatwave->Heatwave,2,3,9,6.0,6.0,heatwave_a3439b96d40d,heatwave_f92aed9671ee,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_srinagar,pk_gilgit,Temperature->Heatwave,2,2,10,6.0,6.0,temperature_a0976ee1723c,heatwave_ea970c76bc01,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_multan,Drought->Drought,2,7,10,8.5,8.5,drought_f1af76b842df,drought_a71f17464f6e,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_jaipur,pk_sukkur,Drought->Drought,2,7,10,8.5,8.5,drought_f1af76b842df,drought_6d4cb3ad7de1,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
India,in_new_delhi,pk_multan,Rainfall->Rainfall,2,9,10,9.5,9.5,rainfall_08a09a28a247,rainfall_0ef25f5d3cef,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_islamabad,Heatwave->Heatwave,1,1,1,1.0,1.0,heatwave_fa9a0f27fabf,heatwave_7a553c970906,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_multan,Heatwave->Heatwave,1,1,1,1.0,1.0,heatwave_49d75b0231cb,heatwave_344ceabb3ef0,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_herat,pk_multan,Rainfall->Rainfall,1,1,1,1.0,1.0,rainfall_b435102e7322,rainfall_1f965fe513db,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_islamabad,Temperature->Heatwave,1,1,1,1.0,1.0,temperature_0efffac6abcf,heatwave_eb93b77403ea,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_multan,Temperature->Heatwave,1,1,1,1.0,1.0,temperature_0efffac6abcf,heatwave_f182cb2dd170,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_peshawar,Rainfall->Flood,1,1,1,1.0,1.0,rainfall_4a7573800986,flood_d68602b74fa8,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_jalalabad,pk_sukkur,Heatwave->Temperature,1,1,1,1.0,1.0,heatwave_d234ea12006f,temperature_cfa3133bc44b,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_islamabad,Drought->Drought,1,1,1,1.0,1.0,drought_d98943349488,drought_7f82bfbb26d4,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_islamabad,Rainfall->Flood,1,1,1,1.0,1.0,rainfall_0afa2e8621ce,flood_8e1a478081f0,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_islamabad,Rainfall->Storm,1,1,1,1.0,1.0,rainfall_acc202f99cb9,storm_2382cf172be6,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
Afghanistan,af_kabul,pk_islamabad,Temperature->Heatwave,1,1,1,1.0,1.0,temperature_5f98d134e7ef,heatwave_bfbd447bf4e6,"This UPSTREAM_OF relationship is a temporal/geographic candidate association, not proven causation or a weather forecast."
